_id,head
1,a
2,walay a
3,-a
4,-a(←)
5,á
6,à
7,ā̀
8,aba
9,aba
10,ábà tuy
11,abaa
12,abab
13,tagaabad
14,pakatagaabad
15,abab disáya
16,ab-ab
17,abad
18,ábag
19,kaábag
20,abaga
21,abága
22,abaga
23,pangabága
24,abagáhun
25,abáhu
26,abáhu kunsidirasiyun
27,abáhu dispusisiyun
28,abaka
29,abakahan
30,abakanhan
31,abakal
32,abakáda
33,abakal
34,abal
35,abalu
36,abalwasiyun
37,abandunar
38,abandunádu
39,abandúnu
40,ábang
41,pangábang
42,abangan
43,abangan
44,abánid
45,abaníku
46,kurta diabaníku
47,pangabaníku
48,inabaníku
49,abansáda
50,abansi
51,miting di abansi
52,abansin
53,abanti
54,atras abanti
55,abánu
56,pangabánu
57,abat
58,alabtan
59,abtanan
60,alabtun
61,abat-ábat
62,ábat
63,abatan
64,ábat
65,abay
66,abay ug sawa
67,mangalábay
68,mangaabay
69,abayan
70,abyanan
71,abyan
72,abgaw
73,abgawun
74,abhak
75,abhul
76,abhung
77,abhungun
78,abi
79,ábi
80,ábi [gen.]
81,ábi nímu
82,ábi kay
83,ábi na lang
84,abiábi
85,maabiabíhun
86,manggiabiabíhun
87,abíba
88,abibar
89,maabibáhun
90,abíhid
91,abilay
92,abilidad
93,abilidaran
94,abilyána
95,ábin
96,kaábin
97,abintúra
98,abinturar
99,abinturíru
100,abinturíra
101,abinturista
102,abir
103,abirids
104,abiríya
105,abirtu
106,abis
107,pangabis
108,abísu
109,abitsuylas
110,abitu
111,abíyu
112,abiyun
113,kaábiyunan
114,abkay
115,abla
116,pangabla
117,abládu
118,ablása
119,abli
120,Abr.
121,abrap
122,abrása
123,abrasadur
124,abrasíti
125,abrasyíti
126,abri
127,abridur
128,abri
129,abrigána
130,abrigáwu
131,abrígu
132,Abril
133,abriláta
134,absin
135,hingabsin
136,palaabsin
137,absiníru
138,absinus
139,absin mayindid
140,absinus
141,absulusiyun
142,absuwiltu
143,abtik
144,pangabtik
145,abtung
146,abu
147,kaábu
148,alabúhan
149,abuhun
150,abuábu
151,abubhu
152,pangabubhu
153,abubhuan
154,mapangabubhúun
155,abud
156,ábud
157,alabdan
158,ábud
159,ábud
160,abug
161,kaábug
162,abugun
163,alabúgan
164,abug
165,pangabug
166,ábug
167,anug
168,abugan
169,ábug
170,abugáda
171,abugádu
172,abugaduhun
173,abugágu
174,abugar
175,abugasíya
176,abughu
177,abughù
178,abukádu
179,abúkay
180,abukay
181,abunansiya
182,abunda
183,abundansiya
184,ábung
185,abung
186,paabung
187,paábung
188,pangabung
189,abungaw
190,abungaw
191,abúnu
192,aburídu
193,aburídu ang úlu
194,pangísip
195,abusáda
196,abusádu
197,abusar
198,abúsu
199,abut
200,abut sa hunàhúnà
201,ábut
202,abut ang ginháwa
203,paábut
204,abut-abut
205,abut-ábut
206,singabut
207,alabútun
208,alabtan
209,abtanan
210,alabútan
211,umaábut
212,umalábut
213,taliabut
214,taliábut
215,saliabut
216,saliábut
217,abwag
218,abyadur
219,abyan
220,abyasiyun
221,abyasyun
222,abyirtu
223,abyirtu
224,abyug
225,A.D.
226,ád
227,ád
228,ada
229,ada uruy
230,ada uy
231,áda
232,adá
233,ad-ad
234,ad-aran
235,Adan
236,adbans
237,adbans gard
238,adbaysir
239,klas adbaysir
240,idituryal adbaysir
241,adbintista
242,adbirbiyu
243,Adbiyintu
244,adgaw
245,adía
246,día
247,ádik
248,adilantádu
249,adilantar
250,adilantu
251,kaadilantúhan
252,adilpa
253,adimas
254,adingmasin
255,adinúwid
256,adisir
257,adísir
258,adiyus
259,adiyús
260,adiyus na lámang
261,adlaw
262,pila ka adlaw
263,adlaw sa minatay
264,Mahal nga adlaw
265,adlaw-adlaw
266,adláwan
